Date,Close,Volume,Open,High,Low
09/09/2021,154.07,57305730,155.49,156.11,153.95
09/08/2021,155.11,74420210,156.98,157.04,153.975
09/07/2021,156.69,82278260,154.97,157.26,154.39
09/03/2021,154.3,57866070,153.76,154.63,153.09
09/02/2021,153.65,71171320,153.87,154.72,152.4
09/01/2021,152.51,80313710,152.83,154.98,152.34
08/31/2021,151.83,86453120,152.66,152.8,151.29
08/30/2021,153.12,90956720,149,153.49,148.61
08/27/2021,148.6,55802390,147.48,148.75,146.83
08/26/2021,147.54,48597200,148.35,149.12,147.51
08/25/2021,148.36,58991300,149.81,150.32,147.8
08/24/2021,149.62,48606430,149.45,150.86,149.15
08/23/2021,149.71,60131810,148.31,150.19,147.89
08/20/2021,148.19,60549630,147.44,148.5,146.78
08/19/2021,146.7,86960310,145.03,148,144.5
08/18/2021,146.36,86325990,149.8,150.72,146.15
08/17/2021,150.19,92229740,150.23,151.68,149.09
08/16/2021,151.12,103558800,148.535,151.19,146.47
08/13/2021,149.1,59375010,148.97,149.4444,148.27
08/12/2021,148.89,73779110,146.19,149.05,145.84
08/11/2021,145.86,48493460,146.05,146.72,145.53
08/10/2021,145.6,69023080,146.44,147.71,145.3
